test	render_s	node_exit	diff_exit	verdict	max_err	pct_over	note
colorspace/acescg_blackbody	8.6	0	0	PASS	0.09803923964500427	0.0061%	-
colorspace/rec2020_lights	14.7	0	0	PASS	0.003921598196029663	0%	-
transparency/transparency_blended	10.9	0	0	PASS	0.0313725471496582	0.0122%	-
transparency/transparency_dithered	12.0	0	0	PASS	0.05098038911819458	0.208%	-
shadow/shadow_filter	9.5	0	0	PASS	0.08627451211214066	0.183%	-
raycast/raycast_attribute	7.5	0	0	PASS	0.003921572118997574	0%	-
raycast/raycast_bump	14.6	0	0	PASS	0.125490203499794	0.0244%	-
raycast/raycast_direction_constant	7.4	0	0	PASS	0.003921568393707275	0%	-
raycast/raycast_hit	10.4	0	0	PASS	0.2196078598499298	0.0244%	-
raycast/raycast_normal	9.8	0	0	PASS	0.2196078598499298	0.0244%	-
raycast/raycast_position	9.1	0	0	PASS	0.5176470875740051	0.0244%	-
raycast/raycast_visibility	8.7	0	0	PASS	0.2196078598499298	0.0061%	-
principled_bsdf/principled_bsdf_coat	10.5	0	0	PASS	0.12941178679466248	0.348%	-
principled_bsdf/principled_bsdf_coat_zero_weight	10.0	0	0	PASS	0.007843166589736938	0%	-
principled_bsdf/principled_bsdf_default	8.7	0	1	FAIL	0.10980392247438431	20.8%	pixel-drift
principled_bsdf/principled_bsdf_emission	10.0	0	0	PASS	0.03137257695198059	0.134%	-
principled_bsdf/principled_bsdf_emission_alpha	9.7	0	1	FAIL	0.686274528503418	11.4%	pixel-drift
principled_bsdf/principled_bsdf_metallic	9.9	0	0	PASS	0.0156862735748291	0%	-
principled_bsdf/principled_bsdf_sheen	9.1	0	0	PASS	0.01568630337715149	0%	-
principled_bsdf/principled_bsdf_specular	11.1	0	0	PASS	0.0156862735748291	0%	-
principled_bsdf/principled_bsdf_subsurface	11.8	0	0	PASS	0.03529413044452667	0.0366%	-
principled_bsdf/principled_bsdf_thin_glass	15.0	0	0	PASS	0.0156862735748291	0%	-
principled_bsdf/principled_bsdf_thin_subsurface	18.9	0	0	PASS	0.019607901573181152	0.0122%	-
principled_bsdf/principled_bsdf_thinfilm_metallic	11.5	0	0	PASS	0.05882352590560913	0.0427%	-
principled_bsdf/principled_bsdf_thinfilm_reflection	9.1	0	0	PASS	0.027450978755950928	0.0183%	-
principled_bsdf/principled_bsdf_thinfilm_transmission	13.8	0	0	PASS	0.04313725233078003	0.287%	-
principled_bsdf/principled_bsdf_transmission	11.2	0	0	PASS	0.011764705181121826	0%	-
